0.726	0.724
0.86	0.863
0.808	0.809
0.766	0.794
0.66	0.658
0.778	0.773
0.814	0.814
0.684	0.693
0.594	0.633
0.792	0.807
0.714	0.677
0.688	0.661
0.762	0.734
0.566	0.59
0.798	0.769
0.714	0.67
0.698	0.743
0.776	0.816
0.792	0.793
0.7	0.706
0.662	0.682
0.708	0.721
0.788	0.793
0.72	0.708
0.582	0.587
0.73	0.737
0.752	0.739
0.584	0.578
0.658	0.656
0.776	0.771
0.514	0.535
0.678	0.653
0.872	0.858
0.73	0.744
0.62	0.627
0.812	0.821
0.696	0.745
0.874	0.807
0.744	0.768
0.684	0.673
0.678	0.667
0.63	0.637
0.708	0.7
0.684	0.663
0.714	0.664
0.756	0.784
0.81	0.847
0.808	0.8
0.88	0.896
0.846	0.802
0.82	0.818
0.672	0.68
0.75	0.78
0.628	0.639
0.87	0.866
0.85	0.861
0.704	0.712
0.758	0.77
0.716	0.734
0.686	0.709
0.788	0.811
0.838	0.827
0.86	0.83
0.684	0.71
0.648	0.655
0.796	0.826
0.788	0.799
0.728	0.751
0.796	0.825
0.896	0.898
0.728	0.72
0.832	0.764
0.782	0.775
0.758	0.754
0.798	0.822
0.726	0.719
0.746	0.781
0.812	0.793
