0.6742	0.683
0.7941	0.804
0.6380999999999999	0.67
0.5845999999999999	0.614
0.7055999999999999	0.721
0.6059000000000001	0.61
0.6325	0.644
0.6647000000000001	0.651
0.6248	0.634
0.7459	0.738
0.6738000000000001	0.687
0.6584000000000001	0.657
0.6335000000000002	0.639
0.6537999999999999	0.648
0.6927	0.708
0.7042	0.713
0.7160999999999998	0.717
0.6969	0.699
0.6862999999999999	0.698
0.7041999999999999	0.715
0.7001999999999999	0.72
0.7686999999999999	0.797
0.609	0.634
0.6138999999999999	0.633
0.6748000000000001	0.693
0.8459	0.857
0.7420000000000001	0.756
0.6123999999999999	0.599
0.7172000000000001	0.721
0.6375	0.646
0.6508	0.659
0.6299	0.668
0.7875000000000002	0.798
0.6667000000000001	0.692
0.7371	0.745
0.6126	0.619
0.7602	0.776
0.4755	0.497
0.653	0.665
0.6775	0.67
0.6476000000000001	0.661
0.5967999999999999	0.616
0.6723000000000001	0.679
0.6033999999999999	0.598
0.7111999999999999	0.715
0.5845	0.598
0.6399	0.643
0.5445000000000001	0.543
0.7832	0.789
0.5856	0.596
0.7957	0.801
0.7078	0.69
0.685	0.689
0.49539999999999995	0.51
